date,value
2012-02-01,1711.3
2012-03-01,1671.9
2012-04-01,1664.2
2012-05-01,1564.2
2012-06-01,1604.2
2012-07-01,1614.6
2012-08-01,1687.6
2012-09-01,1773.9
2012-10-01,1719.1
2012-11-01,1712.7
2012-12-01,1675.8
2013-01-01,1662.0
2013-02-01,1578.1
2013-03-01,1595.7
2013-04-01,1472.1
2013-05-01,1393.0
2013-06-01,1223.7
2013-07-01,1313.0
2013-08-01,1396.1
2013-09-01,1327.0
2013-10-01,1323.7
2013-11-01,1250.4
2013-12-01,1202.3
2014-01-01,1239.8
2014-02-01,1321.6
2014-03-01,1283.8
2014-04-01,1295.9
2014-05-01,1246.0
2014-06-01,1322.0
2014-07-01,1282.8
2014-08-01,1287.4
2014-09-01,1211.6
2014-10-01,1171.6
2014-11-01,1175.5
2014-12-01,1184.1
2015-01-01,1279.2
2015-02-01,1213.1
2015-03-01,1183.2
2015-04-01,1182.4
2015-05-01,1189.8
2015-06-01,1171.8
2015-07-01,1095.1
2015-08-01,1132.5
2015-09-01,1115.2
2015-10-01,1141.4
2015-11-01,1065.3
2015-12-01,1060.2
2016-01-01,1116.4
2016-02-01,1234.4
2016-03-01,1235.6
2016-04-01,1290.5
2016-05-01,1217.5
2016-06-01,1320.6
2016-07-01,1357.5
2016-08-01,1311.4
2016-09-01,1317.1
2016-10-01,1273.1
2016-11-01,1173.9
2016-12-01,1151.7
2017-01-01,1211.4
2017-02-01,1253.9
2017-03-01,1251.2
2017-04-01,1268.3
2017-05-01,1270.1
2017-06-01,1242.3
2017-07-01,1279.4
2017-08-01,1330.4
2017-09-01,1284.8
2017-10-01,1277.3
2017-11-01,1282.3
2017-12-01,1309.3
2018-01-01,1347.9
2018-02-01,1305.2
2018-03-01,1327.3
2018-04-01,1306.8
2018-05-01,1299.3
2018-06-01,1254.5
2018-07-01,1227.6
2018-08-01,1206.7
2018-09-01,1196.2
2018-10-01,1238.6
2018-11-01,1226.0
2018-12-01,1283.0
2019-01-01,1322.1
2019-02-01,1299.2
2019-03-01,1298.5
2019-04-01,1284.2
2019-05-01,1311.1
2019-06-01,1413.7
2019-07-01,1432.4
2019-08-01,1529.4
2019-09-01,1489.0
2019-10-01,1511.4
2019-11-01,1472.7
2019-12-01,1523.1
2020-01-01,1552.4
2020-02-01,1566.7
2020-03-01,1596.6
2020-04-01,1694.2
2020-05-01,1751.7
2020-06-01,1800.5
2020-07-01,1985.9
2020-08-01,1978.6
2020-09-01,1895.5
2020-10-01,1879.9
2020-11-01,1780.9
2020-12-01,1895.1
2021-01-01,1850.3
2021-02-01,1728.8
2021-03-01,1715.6
2021-04-01,1767.7
2021-05-01,1905.3
2021-06-01,1771.6
2021-07-01,1817.2
2021-08-01,1818.1
2021-09-01,1757.0
2021-10-01,1783.9
2021-11-01,1776.5
2021-12-01,1828.6
2022-01-01,1796.4
2022-02-01,1900.7
2022-03-01,1951.1
2022-04-01,1891.3
2022-05-01,1845.2
2022-06-01,1807.3
2022-07-01,1754.4
2022-08-01,1716.9
2022-09-01,1663.6
2022-10-01,1640.7
2022-11-01,1753.2
2022-12-01,1826.0
2023-01-01,1936.6
2023-02-01,1836.7
2023-03-01,1988.5
2023-04-01,1999.0
2023-05-01,1973.1
2023-06-01,1917.9
2023-07-01,1979.6
2023-08-01,1947.0
2023-09-01,1869.5
2023-10-01,1994.3
2023-11-01,2047.6
2023-12-01,2083.5
2024-01-01,2057.4
2024-02-01,2054.7
2024-03-01,2201.4
2024-04-01,2302.9
2024-05-01,2354.7
2024-06-01,2336.6
2024-07-01,2438.5
2024-08-01,2536.7
2024-09-01,2647.9
2024-10-01,2749.3
2024-11-01,2652.3
2024-12-01,2618.1
2025-01-01,2845.2
2025-02-01,2895.9
2025-03-01,3150.3
2025-04-01,3319.1
2025-05-01,3343.9
2025-06-01,3307.7
2025-07-01,3348.6
2025-08-01,3512.0
2025-09-01,3873.2
2025-10-01,4013.3
2025-11-01,4254.9
2025-12-01,4357.1
2026-01-01,4745.1
2026-02-01,5267.2
2026-03-01,4678.6
