date,value
2009-01-17,109.0
2009-01-21,105.0
2009-01-25,192.0
2009-01-29,122.0
2009-02-02,129.0
2009-02-06,122.0
2009-02-10,120.0
2009-02-14,136.0
2009-02-18,118.0
2009-02-22,125.0
2009-02-26,107.0
2009-03-02,108.0
2009-03-06,117.0
2009-03-10,107.0
2009-03-14,110.0
2009-03-18,116.0
2009-03-22,120.0
2009-03-26,118.0
2009-03-30,120.0
2009-04-03,116.0
2009-04-07,100.0
2009-04-11,121.0
2009-04-15,113.0
2009-04-19,120.0
2009-04-23,75.0
2009-04-27,104.0
2009-05-01,121.0
2009-05-05,136.0
2009-05-09,77.0
2009-05-13,116.0
2009-05-17,127.0
2009-05-21,82.0
2009-05-25,109.0
2009-05-29,107.0
2009-06-02,110.0
2009-06-06,27.0
2009-06-10,82.0
2009-06-14,72.0
2009-06-18,80.0
2009-06-22,77.0
2009-06-26,90.0
2009-06-30,86.0
2009-07-04,89.0
2009-07-08,74.0
2009-07-12,77.0
2009-07-16,71.0
2009-07-20,71.0
2009-07-24,73.0
2009-07-28,41.0
2009-08-01,28.0
2009-08-05,87.0
2009-08-09,101.0
2009-08-13,85.0
2009-08-17,17.0
2009-08-21,13.0
2009-08-25,51.0
2009-08-29,78.0
2009-09-02,65.0
2009-09-06,68.0
2009-09-10,67.0
2009-09-14,74.0
2009-09-18,78.0
2009-09-22,27.0
2009-09-26,100.0
2009-09-30,85.0
2009-10-04,53.0
2009-10-08,70.0
2009-10-12,59.0
2009-10-16,61.0
2009-10-20,96.0
2009-10-24,63.0
2009-10-28,67.0
2009-11-01,25.0
2009-11-05,58.0
2009-11-09,64.0
2009-11-13,83.0
2009-11-17,92.0
2009-11-21,73.0
2009-11-25,90.0
2009-11-29,60.0
2009-12-03,88.0
2009-12-07,112.0
2009-12-11,112.0
2009-12-15,112.0
2009-12-19,199.0
2009-12-23,154.0
2009-12-27,168.0
2009-12-31,138.0
2010-01-04,183.0
2010-01-08,153.0
2010-01-12,161.0
2010-01-16,126.0
2010-01-20,158.0
2010-01-24,155.0
